辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形)
現代語,I,度,度,ド,名詞-普通名詞-助数詞可能,,,ド,ド,漢,度,ド
現代語,I,くらゐ,くらい,クライ,助詞-副助詞,,,クライ,クラヰ,和,くらゐ,クライ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,エッフェル,エッフェル-Eiffel,エッフェル,名詞-固有名詞-人名-一般,,,エッフェル,エッフェル,固,エッフェル,エッフェル
現代語,I,鉄塔,鉄塔,テットウ,名詞-普通名詞-一般,,,テットー,テットウ,漢,鉄塔,テットウ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,やう,様,ヨウ,形状詞-助動詞語幹,,,ヨー,ヤウ,漢,やう,ヨウ
現代語,I,な,だ,ダ,助動詞,助動詞-ダ,連体形-一般,ナ,ナ,和,だ,ダ
現代語,I,富士,フジ,フジ,名詞-固有名詞-地名-一般,,,フジ,フジ,固,富士,フジ
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,さへ,さえ,サエ,助詞-副助詞,,,サエ,サヘ,和,さへ,サエ
現代語,I,描い,描く,エガク,動詞-一般,五段-カ行,連用形-イ音便,エガイ,エガイ,混,描く,エガク
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,ゐる,居る,イル,動詞-非自立可能,上一段-ア行,終止形-一般,イル,ヰル,和,ゐる,イル
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,けれど,けれど,ケレド,接続詞,,,ケレド,ケレド,和,けれど,ケレド
現代語,I,も,も,モ,助詞-係助詞,,,モ,モ,和,も,モ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,実際,実際,ジッサイ,名詞-普通名詞-副詞可能,,,ジッサイ,ジッサイ,漢,実際,ジッサイ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,富士,フジ,フジ,名詞-固有名詞-地名-一般,,,フジ,フジ,固,富士,フジ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,鈍角,鈍角,ドンカク,名詞-普通名詞-一般,,,ドンカク,ドンカク,漢,鈍角,ドンカク
現代語,I,も,も,モ,助詞-係助詞,,,モ,モ,和,も,モ
現代語,I,鈍角,鈍角,ドンカク,名詞-普通名詞-一般,,,ドンカク,ドンカク,漢,鈍角,ドンカク
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,のろくさ,鈍臭,ノロクサ,副詞,,,ノロクサ,ノロクサ,和,のろくさ,ノロクサ
現代語,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト
現代語,I,拡がり,広がる,ヒロガル,動詞-一般,五段-ラ行,連用形-一般,ヒロガリ,ヒロガリ,和,拡がる,ヒロガル
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,東西,東西,トウザイ,名詞-普通名詞-一般,,,トーザイ,トウザイ,漢,東西,トウザイ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,百,百,ヒャク,名詞-数詞,,,ヒャク,ヒャク,漢,百,ヒャク
現代語,I,二十,二十,ニジュウ,名詞-数詞,,,ニジュー,ニジュウ,漢,二十,ニジュウ
現代語,I,四,四,ヨン,名詞-数詞,,,ヨン,ヨン,和,四,ヨン
現代語,I,度,度,ド,名詞-普通名詞-助数詞可能,,,ド,ド,漢,度,ド
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,南北,南北,ナンボク,名詞-普通名詞-一般,,,ナンボク,ナンボク,漢,南北,ナンボク
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,百,百,ヒャク,名詞-数詞,,,ヒャク,ヒャク,漢,百,ヒャク
現代語,I,十,十,ジュウ,名詞-数詞,,,ジュー,ジュウ,漢,十,ジュウ
現代語,I,七,七,シチ,名詞-数詞,,,シチ,シチ,漢,七,シチ
現代語,I,度,度,ド,名詞-普通名詞-助数詞可能,,,ド,ド,漢,度,ド
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,決して,決して,ケッシテ,副詞,,,ケッシテ,ケッシテ,混,決して,ケッシテ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,秀抜,秀抜,シュウバツ,名詞-普通名詞-形状詞可能,,,シューバツ,シュウバツ,漢,秀抜,シュウバツ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,すら,すら,スラ,助詞-副助詞,,,スラ,スラ,和,すら,スラ
現代語,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト
現代語,I,高い,高い,タカイ,形容詞-一般,形容詞,連体形-一般,タカイ,タカイ,和,高い,タカイ
現代語,I,山,山,ヤマ,名詞-普通名詞-一般,,,ヤマ,ヤマ,和,山,ヤマ
現代語,I,で,で,デ,助詞-格助詞,,,デ,デ,和,で,デ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,ない,無い,ナイ,形容詞-非自立可能,形容詞,終止形-一般,ナイ,ナイ,和,ない,ナイ
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,たとへば,例えば,タトエバ,副詞,,,タトエバ,タトヘバ,和,たとへば,タトエバ
現代語,I,私,私-代名詞,ワタクシ,代名詞,,,ワタクシ,ワタクシ,和,私,ワタクシ
現代語,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,印度,インド-India,インド,名詞-固有名詞-地名-国,,,インド,インド,固,印度,インド
現代語,I,インド,インド-India,インド,名詞-固有名詞-地名-国,,,インド,インド,固,インド,インド
現代語,I,か,か,カ,助詞-副助詞,,,カ,カ,和,か,カ
現代語,I,どこ,何処,ドコ,代名詞,,,ドコ,ドコ,和,どこ,ドコ
現代語,I,か,か,カ,助詞-副助詞,,,カ,カ,和,か,カ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,国,国,クニ,名詞-普通名詞-一般,,,クニ,クニ,和,国,クニ
現代語,I,から,から,カラ,助詞-格助詞,,,カラ,カラ,和,から,カラ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,突然,突然,トツゼン,副詞,,,トツゼン,トツゼン,漢,突然,トツゼン
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,鷲,鷲,ワシ,名詞-普通名詞-一般,,,ワシ,ワシ,和,鷲,ワシ
現代語,I,わし,わし,ワシ,代名詞,,,ワシ,ワシ,和,わし,ワシ
現代語,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ
現代語,I,さら,去る,サル,動詞-非自立可能,五段-ラ行,未然形-一般,サラ,サラ,和,さる,サル
